Condition,Subject ID,Run Number,Estimated Accuracy,Miss,Using Classifier,Order
661,X,1,NA,NA,No,2
661,X,2,0.60,8/20,Yes,2
661,X,3,0.85,3/20,Yes,2
661,X,4,0.60,8/20,Yes,2
662,X,1,NA,NA,No,3
662,X,2,0.45,11/20,Yes,3
662,X,3,0.55,9/20,Yes,3
662,X,4,0.85,3/20,Yes,3
663,X,1,NA,NA,No,1
663,X,2,0.75,5/20,Yes,1
663,X,3,0.80,4/20,Yes,1
663,X,4,0.65,7/20,Yes,1
661,M,1,NA,NA,No,2
661,M,2,0.65,7/20,Yes,2
661,M,3,0.70,6/20,Yes,2
661,M,4,0.80,4/20,Yes,2
662,M,1,NA,NA,No,1
662,M,2,0.30,14/20,Yes,1
662,M,3,0.70,6/20,Yes,1
662,M,4,0.60,8/20,Yes,1
663,M,1,NA,NA,No,3
663,M,2,0.30,14/20,Yes,3
663,M,3,0.55,9/20,Yes,3
663,M,4,0.35,13/20,Yes,3
661,R,1,NA,NA,No,2
661,R,2,0.70,6/20,Yes,2
661,R,3,0.90,2/20,Yes,2
661,R,4,0.90,2/20,Yes,2
662,R,1,NA,NA,No,1
662,R,2,0.75,5/20,Yes,1
662,R,3,0.80,4/20,Yes,1
662,R,4,0.60,8/20,Yes,1
663,R,1,NA,NA,No,3
663,R,2,0.55,9/20,Yes,3
663,R,3,0.75,5/20,Yes,3
663,R,4,0.60,8/20,Yes,3
661,T,1,NA,NA,No,1
661,T,2,0.80,4/20,Yes,1
661,T,3,0.75,5/20,Yes,1
661,T,4,1.00,0/20,Yes,1
662,T,1,NA,NA,No,2
662,T,2,NA,NA,No,2
662,T,3,NA,NA,No,2
662,T,4,NA,NA,No,2
663,T,1,NA,NA,No,3
663,T,2,NA,NA,No,3
663,T,3,NA,NA,No,3
663,T,4,NA,NA,No,3
661,W,1,NA,NA,No,2
661,W,2,0.65,7/20,Yes,2
661,W,3,0.67,NA,Yes,2
661,W,4,0.70,6/20,Yes,2
662,W,1,NA,NA,No,3
662,W,2,0.45,11/20,Yes,3
662,W,3,0.55,9/20,Yes,3
662,W,4,0.65,7/20,Yes,3
663,W,1,NA,NA,No,1
663,W,2,0.30,14/20,Yes,1
663,W,3,0.45,11/20,Yes,1
663,W,4,0.70,6/20,Yes,1
661,B,1,NA,,No,2
661,B,2,0.70,6/20,Yes,2
661,B,3,0.80,4/20,Yes,2
661,B,4,0.75,5/20,Yes,2
662,B,1,NA,,No,3
662,B,2,0.80,4/20,Yes,3
662,B,3,0.60,8/20,Yes,3
662,B,4,0.65,7/20,Yes,3
663,B,1,NA,,No,1
663,B,2,0.70,6/20,Yes,1
663,B,3,0.60,8/20,Yes,1
663,B,4,0.40,12/20,Yes,1
